Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
Malta;0;293.856;66.557;0;48.786;13.878;13.074;0.2666;106.541;0.0169;93.298;0.0508;14.978;0.0804;0.0804;0.0296;26.783;0;0;1.172;206.144;93.975;0.5162;31;<2.5;0.134;0.0018;0.1272;0.005;5,00E+05;%;
Mauritania;0;174.021;17.485;0;43.092;0.4337;0.5369;0.0895;57.479;0.0688;8.646;0.2822;0.5025;0.3373;0;0.0207;0.1652;0;0;0;326.014;269.567;0.1514;11.3;10.4;0.0916703490941228;0.00278391515687141;0.031352187361909;0.0575342465753425;4526000;%;
Mauritius;0;128.934;14.559;0;32.471;0.7355;10.457;0.1501;67.594;0.1001;28.418;0.055;1.566;0.2502;0.3452;0.025;0.9856;0;0;0.2702;371.041;299.945;0.1751;11.5;6.5;0.0269352290679305;0.000789889415481833;0.0257503949447077;0.000394944707740916;1266000;%;
Mexico;0;237.741;32.525;0;64.604;22.807;0.4661;0.5305;132.133;0.005;43.433;0.2182;1.185;0.238;0.2529;0.0248;0.2033;0;0;0.7437;262.234;163.419;0.2429;28.4;3.6;0.171320224053343;0.0210527979016725;0.130075764159365;0.0201916619923051;126577000;%;
Mongolia;0;369.018;55.153;0;27.445;0.593;0.0315;0.042;210.223;0.0525;90.628;0.6717;0.1259;0.0105;0.0052;0.042;16.373;0;0;0.0787;130.982;82.231;0.1417;19.6;13.4;0.00672988681553992;0;0.00535331905781585;0.00137656775772407;3269000;%;
Montenegro;0;327.855;38.887;0;37.312;11.566;0.3473;0.3688;147.778;0.1003;125.363;0.0752;0.5837;0.0788;0.043;0.0251;25.531;0;0;0.8415;172.163;86.332;0.2578;24.9;<2.5;0.0773311897106109;0.00176848874598071;0.0506430868167203;0.02491961414791;622000;%;
Morocco;0;154.227;35.807;0;71.539;11.517;12.329;0.7014;69.989;0.0074;22.296;0.2289;0.7309;0.1477;0.3987;0.096;0.1993;0;0;19.048;345.736;229.457;0.2953;25.6;3.4;0.0338662994913873;0.000621013291370444;0.0245595301655099;0.00868575603450698;35587000;%;
Mozambique;0;11.591;11.197;0;88.101;0.5537;0.849;0.1846;68.783;0.0369;20.795;0.1107;11.936;0.7014;0.0246;0.849;0.0984;0;0;0.8244;384.152;255.199;0.16;6;27.9;0.00282882170848976;1,65E+09;0.000750839754989133;0.00206151616939999;30366000;%;
Myanmar;0;26.047;30.066;0;38.192;0.9251;25.441;0.275;181.335;0.0375;12.814;0.1563;51.194;0.6938;0.5313;0.0625;0.025;0;0.0813;0.2688;23.953;127.453;0.2938;5.7;10.6;NA;NA;NA;NA;54045000;%;
Namibia;0;167.373;33.171;0;6.802;0.2718;0.6075;0.2798;77.772;0.0959;4.548;0.2078;0.8792;0.4316;0.4236;0.5915;0.5995;0;0;0.1199;332.667;229.078;0.1359;15;27.3;0.00733466933867735;0;0.000961923847695391;0.00637274549098196;2495000;%;
Nepal;0;121.853;33.076;0;71.664;0.4361;0.1563;0.5513;27.069;0.0082;54.139;0.1563;0.4525;0.5513;11.437;0.1975;0.2468;0.1892;0;0.5019;378.147;262.136;0.6006;3.8;8.7;0.0446432940683002;9,79E+09;0.010531650879094;0.0340137718899647;28609000;%;
Netherlands;0;301.494;66.484;0;12.702;14.787;0.7451;0.3475;108.567;0;103.934;0.027;0.3591;0.0309;0.1235;0.0849;0.0541;0;0;1.498;198.525;158.449;0.2355;23.1;<2.5;0.290481684453418;0.0353273723680415;0.0010729737525238;0.254081338332853;17335000;%;
New Caledonia;0;222.697;36.599;0;50.979;10.439;0.8385;0.2222;116.086;0.2851;50.476;0.0755;33.036;0.0293;0.0629;0.0335;13.961;0;0;0.2557;277.282;168.532;0.1887;NA;7.1;NA;NA;NA;NA;291000;%;
New Zealand;0;341.264;139.753;0;13.271;12.111;0.6485;0.3049;139.409;0;42.948;0.0601;20.228;0.0773;0.0859;0.0687;0.0945;0;0;13.357;158.736;102.689;0.2835;32;<2.5;0.0307259199678263;0.000442388900060326;0.0298411421677056;0.000442388900060326;4973000;%;
Nicaragua;0;179.935;23.309;0;92.369;1.008;0.4174;0.1339;76.069;0.1102;65.123;0.1102;19.214;0.4646;0.0079;0.1024;0.4252;0;0;0.0315;320.104;193.952;0.1811;21.8;17;0.0331500152765047;0.00113046135044302;0.018912312862817;0.0131072410632447;6546000;%;
Niger;0;109.769;26.573;0;12.436;0.058;0.1353;0.2416;36.332;0.0097;43.193;0.1836;134.216;14.398;0.3479;0.0483;0.029;0;0;0;390.279;105.904;0.4445;4.7;16.5;0.00460726695551456;0.000287417957187594;0.00402814122088284;0.000291707777444125;23311000;%;
Nigeria;0;50.182;0.8078;0;71.082;0.5755;0.5957;0.3433;24.838;0.0101;0.4645;0.0909;43.922;0.4241;0.4746;12.621;0.0404;0;0;0.2322;449.818;301.494;0.5452;7.8;13.4;0.0122245775362752;0.000281144881670349;0.00448189725522979;0.00746153539937501;200964000;%;
